nQuality	nHpStage	szDropConfig	tbArrival	tbArrival2		
1	0	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	SilverBoard|30000	SilverBoard|50000		
1	10	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	SilverBoard|30000	SilverBoard|50000		
1	30	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	SilverBoard|30000	SilverBoard|50000		
1	50	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	SilverBoard|30000	SilverBoard|50000		
1	60	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp70.tab	SilverBoard|30000	SilverBoard|50000		
1	70	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp80.tab	SilverBoard|30000	SilverBoard|50000		
1	80	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp90.tab	SilverBoard|30000	SilverBoard|50000		
1	90	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp100.tab	SilverBoard|30000	SilverBoard|50000		
2	0	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	SilverBoard|50000	SilverBoard|80000			
2	10	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	SilverBoard|50000	SilverBoard|80000			
2	30	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	SilverBoard|50000	SilverBoard|80000			
2	50	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	SilverBoard|50000	SilverBoard|80000			
2	60	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp70.tab	SilverBoard|50000	SilverBoard|80000			
2	70	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp80.tab	SilverBoard|50000	SilverBoard|80000			
2	80	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp90.tab	SilverBoard|50000	SilverBoard|80000			
2	90	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp100.tab	SilverBoard|10000	SilverBoard|80000		
3	0	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	SilverBoard|80000	SilverBoard|100000			
3	10	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	SilverBoard|80000	SilverBoard|100000			
3	30	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	SilverBoard|80000	SilverBoard|100000			
3	50	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	SilverBoard|80000	SilverBoard|100000			
3	60	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp70.tab	SilverBoard|80000	SilverBoard|100000			
3	70	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp80.tab	SilverBoard|80000	SilverBoard|100000			
3	80	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp90.tab	SilverBoard|80000	SilverBoard|100000			
3	90	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp100.tab	SilverBoard|80000	SilverBoard|100000		
4	0	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	SilverBoard|120000	SilverBoard|150000		
4	10	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	SilverBoard|120000	SilverBoard|150000		
4	30	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	SilverBoard|120000	SilverBoard|150000		
4	50	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	SilverBoard|120000	SilverBoard|150000		
4	60	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp70.tab	SilverBoard|120000	SilverBoard|150000		
4	70	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp80.tab	SilverBoard|120000	SilverBoard|150000		
4	80	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp90.tab	SilverBoard|120000	SilverBoard|150000		
4	90	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp100.tab	SilverBoard|120000	SilverBoard|150000		
5	0	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	SilverBoard|180000	SilverBoard|200000		
5	10	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	SilverBoard|180000	SilverBoard|200000		
5	30	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	SilverBoard|180000	SilverBoard|200000		
5	50	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	SilverBoard|180000	SilverBoard|200000		
5	60	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp70.tab	SilverBoard|180000	SilverBoard|200000		
5	70	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp80.tab	SilverBoard|180000	SilverBoard|200000		
5	80	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp90.tab	SilverBoard|180000	SilverBoard|200000		
5	90	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp100.tab	SilverBoard|180000	SilverBoard|200000
