Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
WallGuard	營地1_障礙		104	50		1	5124	22629	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地1_障礙		104	50		1	5124	23112	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地8_障礙		104	50		1	5113	14253	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地8_障礙		104	50		1	5113	13809	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地7_障礙		104	50		1	13619	5389	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地7_障礙		104	50		1	14044	5390	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地6_障礙		104	50		1	22417	5393	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地6_障礙		104	50		1	22879	5391	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地5_障礙		104	50		1	31462	13854	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地5_障礙		104	50		1	31458	14254	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地4_障礙		104	50		1	31458	23043	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地4_障礙		104	50		1	31461	22581	64	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地3_障礙		104	50		1	22824	31569	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地3_障礙		104	50		1	22387	31567	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地2_障礙		104	50		1	14100	31595	16	-1	0	0		0	0	0	0	0	0	0	0	
WallGuard	營地2_障礙		104	50		1	13690	31595	16	-1	0	0		0	0	0	0	0	0	0	0	
wangzuo	王座		8002	50	1	0	17985	18422	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu1	「天覆」龍柱		8002	50	1	0	9481	27218	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu2	「地載」龍柱		8002	50	1	0	27037	27212	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu3	「風揚」龍柱		8002	50	1	0	9470	9614	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu4	「雲垂」龍柱		8002	50	1	0	27035	9632	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu5	「龍飛」龍柱		8002	50	1	0	14547	22154	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu6	「虎翼」龍柱		8002	50	1	0	21906	22158	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu7	「鳥翔」龍柱		8002	50	1	0	14548	14728	27	-1	0	0		0	0	0	0	0	0	0	0	
longzhu8	「蛇蟠」龍柱		8002	50	1	0	21899	14730	27	-1	0	0		0	0	0	0	0	0	0	0	
