GroupId	ItemId	ItemName	Count
1	736	碧玉扳指	1
1	737	翡翠手镯	1
1	738	青花瓷瓶	1
1	739	鎏金银盘	1
1	740	铜编钟	1
1	741	白玉钗	1
1	742	墨玉砚	1
1	743	青竹简	1
1	744	七弦古琴	1
1	745	千手观影	1
1	746	长明宫灯	1
1	747	青铜大鼎	1
2	2398	秘笈·天罡战气	1
2	2401	秘笈·气盖八荒	1
2	2402	秘笈·不动如山	1
2	2719	秘笈·固若金汤	1
2	2403	秘笈·六道轮回	1
2	2404	秘笈·清心普善	1
2	2405	秘笈·玄冰无息	1
2	2720	秘笈·沧浪濯缨	1
2	2406	秘笈·五雷正法	1
2	2407	秘笈·北冥神功	1
2	2408	秘笈·悲酥清风	1
2	2721	秘笈·枪出如龙	1
2	2409	秘笈·风云变幻	1
2	2410	秘笈·金蝉脱壳	1
2	2411	秘笈·陨星泣血	1
2	2722	秘笈·月落星沉	1
2	2412	秘笈·两仪剑法	1
2	2413	秘笈·剑气纵横	1
2	2414	秘笈·七星诀	1
2	2723	秘笈·剑我两忘	1
2	2415	秘笈·火莲焚华	1
2	2416	秘笈·飞鸿无迹	1
2	2417	秘笈·厉魔夺魂	1
2	2724	秘笈·追魂夺命	1
2	2713	秘笈·韦陀献杵	1
2	2714	秘笈·一指禅功	1
2	2715	秘笈·罗汉金身	1
2	2749	秘笈·摩柯无量	1
2	2716	秘笈·七宝罗伞	1
2	2717	秘笈·妙雨连诛	1
2	2718	秘笈·青梅竹熊	1
2	2750	秘笈·十里冰封	1
2	3267	秘笈·缠身刺	1
2	3268	秘笈·暴雨梨花	1
2	3269	秘笈·迷影纵	1
2	3270	秘笈·九宫飞星	1
2	3271	秘笈·仙人指路	1
2	3272	秘笈·啸风三连击	1
2	3273	秘笈·混沌剑阵	1
2	3274	秘笈·雷动九天	1
2	4021	秘笈·亢龙有悔	1
2	4022	秘笈·困龙功	1
2	4023	秘笈·醉蝶狂舞	1
2	4024	秘笈·龙战於野	1
2	4025	秘笈·阴风蚀骨	1
2	4026	秘笈·召唤毒虫	1
2	4027	秘笈·迷心蛊	1
2	4028	秘笈·万蛊蚀心	1
2	5201	秘笈·九溪弥烟	1
2	5202	秘笈·心剑	1
2	5203	秘笈·平湖断月	1
2	5204	秘笈·峰插云景	1
2	5205	秘笈·平沙雁落	1
2	5206	秘笈·云生结海	1
2	5207	秘笈·清音长啸	1
2	5208	秘笈·江逐月天	1
2	6675	初级秘笈·飞燕淩波	1
2	6674	初级秘笈·银瓶玉碎	1
2	6676	初级秘笈·空山凝云	1
2	6677	初级秘笈·水龙吟	1
2	7520	初级秘笈·霸刀1	1
2	7521	初级秘笈·霸刀2	1
2	7522	初级秘笈·霸刀3	1
2	7523	初级秘笈·霸刀4	1
2	8445	初级秘笈·萧史乘龙	1
2	8446	初级秘笈·天绅倒悬	1
2	8447	初级秘笈·朝阳一气剑	1
2	8448	初级秘笈·风送紫霞	1
3	1713	初级魂石·少年杨影枫	1
3	1729	初级魂石·曲霞	1
3	1730	初级魂石·耶律辟离	1
3	1731	初级魂石·杨铁心	1
3	1732	初级魂石·无想	1
3	1733	初级魂石·柳潇庭	1
3	1734	初级魂石·李恬儿	1
3	1735	初级魂石·李天目	1
3	1736	初级魂石·完颜襄	1
3	1739	初级魂石·耶律楚材	1
3	1743	初级魂石·雷震天	1
3	1748	初级魂石·高长恭	1
3	1749	初级魂石·哲别	1
3	1750	初级魂石·秦良玉	1
3	1751	初级魂石·袁承志	1
3	1752	初级魂石·鳌拜	1
3	1753	初级魂石·韩世忠	1
3	1762	初级魂石·天星道长	1
3	1763	初级魂石·燕若雪	1
3	1764	初级魂石·杨熙烈	1
3	1765	初级魂石·上官飞龙	1
3	1766	初级魂石·纳兰潜凛	1
3	1767	初级魂石·方勉	1
3	1768	初级魂石·南宫灭	1
3	1769	初级魂石·唐影	1
3	1770	初级魂石·秋依水	1
3	2847	初级魂石·玄慈	1
4	1486	月眉儿·冰心仙子	1
4	1487	杨瑛·朝阳灿金枪	1
4	1488	清晓师太·涤尘剑	1
4	1489	祝子虚·太霄神枪	1
4	1490	黄暮云·碧海潮生弓	1
4	1491	道一真人·璿玑剑	1
4	1492	端木睿·夺魂刃	1
4	1493	玄因·菩提禅杖	1
4	1494	尹含烟·（尹含烟）	1
4	1495	黑面郎君·（黑面郎君）	1
4	1496	璿玑子·（璿玑子）	1
4	1497	何人我·（何人我）	1
4	1498	唐仇·（唐仇）	1
4	1499	孟知秋·沧海剑	1
4	1500	高长恭·武陵白狼刃	1
4	1501	哲别·天鹰弩	1
4	1502	秦良玉·暴雨梨花枪	1
4	1503	袁承志·碧血剑	1
4	1504	鳌拜·斩鲨刀	1
4	1505	韩世忠·霸虎刀	1
4	1506	赤睛虎皇·白虎之爪	1
4	1507	撼天熊皇·暴君之牙	1
4	1508	紫背鳄皇·紫金之鳞	1
4	1509	定海金刚·金刚之镯	1
4	1510	金翅鹏皇·迦楼罗之羽	1
4	1511	银角犀皇·望月犀角	1
4	1512	张风·乘风剑	1
4	1513	南宫灭·百炼手套	1
4	1514	方勉·碎星剑	1
4	1515	唐影·千机扇	1
4	1516	秋依水·云烟荷	1
4	1517	天星道长·摘星手套	1
4	1518	燕若雪·飘雪流云袖	1
4	1519	杨熙烈·凌绝剑	1
4	1520	上官飞龙·挽月剑	1
4	1521	纳兰潜凛·天魔剑	1
5	2048	半月斩	1
5	2049	惊涛骇浪	1
5	2050	穿心刺	1
5	2051	推山填海	1
5	2052	九天狂雷	1
5	2053	群体毒瘴	1
5	2054	群体金刚	1
5	2055	群体明王	1
5	2056	涅盘重生	1
5	2057	【高级】会心机率	1
5	2058	【高级】攻击力	1
5	2059	【高级】生命	1
5	2060	【高级】移动速度	1
5	2061	【高级】金系抗性	1
5	2062	【高级】木系抗性	1
5	2063	【高级】水系抗性	1
5	2064	【高级】火系抗性	1
5	2065	【高级】土系抗性	1
5	2066	【高级】抗属性效果	1
5	2067	【中级】吸取生命	1
5	2068	【中级】受伤效果	1
5	2069	【中级】迟缓效果	1
5	2070	【中级】致残效果	1
5	2071	【中级】麻痹效果	1
5	2072	【中级】眩晕效果	1
5	2073	【中级】全系抗性	1
5	2074	【中级】忽略全系抗性	1
5	2075	【中级】反击	1
5	2076	【中级】攻击速度	1
6	1693	初级魂石·李三	1
