Out_sn	1520	6495
goto_sn	6171	18080
Out_ty	5887	18062
sn	906	3587
sn	6251	8948
ty	995	12577
ty	12515	24113
GoOut	1967	18145
Entrance	2322	18120
chuangong	1557	6592
chuangong	1555	6424
xuyuanshu	5532	21036
PackupRange	1414	7268
PackupRange	2767	7345
寵物點1	2343	18375
寵物點1	2372	18323
寵物點1	2403	18275
寵物點1	2422	18218
寵物點1	2443	18149
寵物點1	2441	18080
寵物點1	2418	18004
寵物點1	2385	17927
寵物點1	2357	17866
寵物點1	2299	17805
寵物點2	5828	18234
寵物點2	5812	18188
寵物點2	5786	18136
寵物點2	5779	18094
寵物點2	5778	18038
寵物點2	5792	17981
寵物點2	5814	17957
寵物點2	5845	17927
寵物點2	5885	17910
寵物點2	5885	18240
